ensembl_id,most_likely_path,max_PP,gene_symbol
ENSG00000151914,Down-Down-Down,0.6778,DST
ENSG00000152404,Down-Up-Down,0.574,CWF19L2
ENSG00000153147,Down-Up-Down,0.5052,SMARCA5
ENSG00000153989,Down-Up-Down,0.5582,NUS1
ENSG00000154305,Down-Up-Down,0.5222,MIA3
ENSG00000155287,Down-Down-Up,0.5614,SLC25A28
ENSG00000155304,Down-Up-Down,0.5036,HSPA13
ENSG00000155660,Down-Up-Down,0.5001,PDIA4
ENSG00000155827,Down-Up-Down,0.5198,RNF20
ENSG00000156650,Down-Up-Down,0.5205,KAT6B
ENSG00000156735,Down-Up-Down,0.5153,BAG4
ENSG00000156873,Down-Down-Up,0.5075,PHKG2
ENSG00000157483,Down-Up-Down,0.5819,MYO1E
ENSG00000157637,Up-Down-Up,0.508,SLC38A10
ENSG00000158062,Up-Down-Up,0.5867,UBXN11
ENSG00000158292,Up-Down-Up,0.6922,GPR153
ENSG00000158863,Up-Down-Up,0.6362,FAM160B2
ENSG00000159069,Up-Down-Up,0.5026,FBXW5
ENSG00000159199,Down-Down-Up,0.5151,ATP5MC1
ENSG00000159363,Up-Down-Up,0.5387,ATP13A2
ENSG00000159720,Down-Down-Up,0.5197,ATP6V0D1
ENSG00000160072,Up-Down-Up,0.7423,ATAD3B
ENSG00000160271,Up-Down-Up,0.521,RALGDS
ENSG00000160326,Up-Down-Up,0.5275,SLC2A6
ENSG00000160360,Up-Down-Up,0.5285,GPSM1
ENSG00000160613,Up-Down-Up,0.6419,PCSK7
ENSG00000160796,Up-Down-Up,0.6755,NBEAL2
ENSG00000160948,Up-Down-Up,0.579,VPS28
ENSG00000160949,Up-Down-Up,0.5104,TONSL
ENSG00000160953,Up-Down-Up,0.5266,MUM1
ENSG00000160957,Up-Down-Up,0.6812,RECQL4
ENSG00000160959,Up-Down-Up,0.6144,LRRC14
ENSG00000160972,Up-Down-Up,0.5289,PPP1R16A
ENSG00000161013,Up-Down-Up,0.5338,MGAT4B
ENSG00000161671,Up-Down-Up,0.5133,EMC10
ENSG00000161996,Up-Down-Up,0.7122,WDR90
ENSG00000162066,Up-Down-Up,0.5191,AMDHD2
ENSG00000162244,Up-Down-Up,0.7766,RPL29
ENSG00000162302,Up-Down-Up,0.5511,RPS6KA4
ENSG00000162337,Up-Down-Up,0.5002,LRP5
ENSG00000162572,Up-Down-Up,0.5197,SCNN1D
ENSG00000162576,Up-Down-Up,0.5798,MXRA8
ENSG00000162585,Up-Down-Up,0.5033,FAAP20
ENSG00000162616,Down-Up-Down,0.5965,DNAJB4
ENSG00000163001,Down-Up-Down,0.5236,CFAP36
ENSG00000163166,Down-Up-Down,0.5159,IWS1
ENSG00000163170,Down-Up-Down,0.5118,BOLA3
ENSG00000163297,Down-Up-Down,0.5,ANTXR2
ENSG00000163479,Down-Down-Up,0.5004,SSR2
ENSG00000163507,Down-Up-Down,0.5199,CIP2A
ENSG00000163510,Down-Up-Down,0.6153,CWC22
ENSG00000163535,Down-Up-Down,0.6045,SGO2
ENSG00000163683,Down-Up-Down,0.5997,SMIM14
ENSG00000163702,Up-Down-Up,0.5123,IL17RC
ENSG00000163798,Down-Up-Down,0.5384,SLC4A1AP
ENSG00000163808,Down-Up-Down,0.5073,KIF15
ENSG00000163818,Down-Up-Down,0.5495,LZTFL1
ENSG00000163832,Down-Down-Up,0.5025,ELP6
ENSG00000163956,Up-Down-Up,0.5003,LRPAP1
ENSG00000164031,Down-Up-Down,0.5171,DNAJB14
ENSG00000164081,Up-Down-Up,0.5124,TEX264
ENSG00000164109,Down-Up-Down,0.5025,MAD2L1
ENSG00000164190,Down-Up-Down,0.5173,NIPBL
ENSG00000164292,Down-Up-Down,0.7713,RHOBTB3
ENSG00000164463,Down-Up-Down,0.5034,CREBRF
ENSG00000164611,Down-Down-Up,0.5001,PTTG1
ENSG00000164877,Up-Down-Up,0.6219,MICALL2
ENSG00000164896,Up-Down-Up,0.5492,FASTK
ENSG00000165632,Down-Up-Down,0.5893,TAF3
ENSG00000165684,Up-Down-Up,0.5116,SNAPC4
ENSG00000165792,Down-Down-Up,0.5091,METTL17
ENSG00000165802,Up-Down-Up,0.716,NSMF
ENSG00000165886,Up-Down-Up,0.5481,UBTD1
ENSG00000166166,Up-Down-Up,0.6079,TRMT61A
ENSG00000166477,Down-Up-Down,0.5342,LEO1
ENSG00000166595,Up-Down-Up,0.5061,CIAO2B
ENSG00000166848,Down-Up-Down,0.5454,TERF2IP
ENSG00000166897,Up-Down-Up,0.5367,ELFN2
ENSG00000167397,Down-Down-Up,0.5696,VKORC1
ENSG00000167543,Up-Down-Up,0.5231,TP53I13
ENSG00000167615,Up-Down-Up,0.81,LENG8
